ID,health.risk,hcho.cat,pm2.5cat,tvoc.cat,metsec.cat,co2.cat,airflow.cat,totalrisk
238,Ok,1,0,1,1,0,1,4
239,Ok,1,0,1,1,1,0,4
240,Ok,1,0,1,1,0,1,4
241,Ok,1,1,1,1,0,0,4
242,Ok,1,0,1,1,0,1,4
243,Ok,1,0,1,1,0,1,4
244,Ok,0,0,1,1,0,1,3
245,Ok,1,0,0,1,0,1,3
246,Problem,1,0,1,1,1,0,4
247,Problem,0,0,1,1,0,1,3
248,Ok,0,0,1,1,0,1,3
249,Ok,1,0,1,0,0,0,2
250,Ok,0,0,0,1,0,0,1
251,Ok,1,0,1,1,0,1,4
252,Ok,0,0,1,1,0,0,2
253,Ok,0,0,1,0,0,1,2
254,Ok,0,0,1,0,0,1,2
255,Ok,1,0,1,0,0,1,3
256,Ok,0,0,1,0,0,1,2
257,Problem,1,0,1,1,1,1,5
258,Ok,0,0,1,0,0,1,2
259,Problem,0,0,0,0,0,1,1
260,Problem,0,0,0,0,0,1,1
261,Ok,0,0,0,0,0,1,1
262,Problem,1,0,1,1,1,0,4
263,Ok,0,0,0,0,0,1,1
264,Problem,1,0,1,0,0,0,2
265,Ok,0,0,0,0,0,1,1
266,Ok,1,0,0,1,1,0,3
267,Ok,1,0,1,1,0,0,3
268,Ok,1,0,0,1,0,1,3
269,Problem,1,1,1,1,0,0,4
270,Ok,1,1,1,1,0,0,4
271,Problem,1,0,1,0,0,0,2
272,Problem,1,0,0,1,1,0,3
273,Ok,1,1,1,1,1,1,6
274,Ok,1,1,1,1,1,1,6
275,Ok,1,1,1,1,1,1,6
276,Ok,1,1,1,1,1,1,6
277,Problem,1,1,1,1,1,1,6
278,Ok,1,1,1,1,1,1,6
279,Problem,0,1,1,1,0,1,4
280,Ok,0,1,0,1,0,1,3
281,Ok,0,1,0,1,0,1,3
282,Ok,0,1,0,1,0,1,3
283,Ok,0,1,0,1,0,1,3
284,Ok,0,1,0,1,0,1,3
285,Problem,0,1,0,1,1,1,4
286,Ok,0,1,0,1,1,1,4
287,Problem,0,1,0,1,0,1,3
288,Problem,0,1,0,1,1,1,4
289,Ok,0,1,0,1,1,1,4
290,Ok,0,1,0,1,1,1,4
291,Ok,0,1,0,1,0,1,3
292,Ok,0,0,0,1,0,1,2
293,Ok,0,0,0,1,1,1,3
294,Ok,0,1,0,1,0,1,3
295,Ok,0,1,0,1,0,1,3
296,Problem,1,1,0,1,0,1,4
297,Ok,0,1,0,1,0,1,3
298,Ok,0,1,0,1,0,1,3
299,Ok,0,0,0,1,0,1,2
300,Problem,0,1,0,1,0,1,3
301,Ok,0,1,0,1,0,1,3
302,Ok,0,1,0,1,0,1,3
303,Ok,0,0,0,1,0,1,2
304,Ok,0,0,0,1,0,1,2
305,Ok,0,1,0,1,0,1,3
306,Ok,0,0,0,1,0,1,2
307,Ok,0,1,0,1,1,1,4
308,Ok,0,1,0,1,0,1,3
309,Ok,0,0,0,1,0,1,2
310,Problem,0,0,0,1,0,1,2
311,Ok,0,0,0,1,1,1,3
312,Ok,0,0,0,1,0,1,2
